key,city,state,damage,oil_spilled,oil_lost
marshall,MARSHALL,MI,840526118,20082,1837
romeoville,ROMEOVILLE,IL,47393566,7538,0
exeland,EXELAND,WI,4503458,4800,2066
neche,NECHE,ND,4194715,3784,2237
grand-marshall,GRAND MARSH,WI,5014408,1729,629
new-lenox,NEW LENOX,IL,2836777,1500,1245
atwood,ATWOOD,WI,702500,1500,50
mokena,MOKENA,IL,9800000,900,0
griffith-1,GRIFFITH,IN,942824,747,0
schererville,SCHERERVILLE,IN,295000,398,0
clearbrook,CLEARBROOK,MN,2625000,325,325
griffith-2,GRIFFITH,IN,192002,260,0
griffith-3,GRIFFITH,IN,836469,160,0
cass-lake,CASS LAKE,MN,830000,155,0
superior-1,SUPERIOR,WI,117257,154,14
superior-2,SUPERIOR,WI,50800,115,7
superior-3,SUPERIOR,WI,22764,104,0